15120 cells | 32 cores | library-based (no RL) | out=results/
[8400/15120] rho5_mu0.5_eta2_kap0.5_artic_seed7: INV=0 conv=0 best=burn_then_protect dJ=+44.2  (1120s, inv so far 8)
[8450/15120] rho5_mu0.5_eta5_kap0.25_artic_seed6: INV=0 conv=0 best=burn_then_protect dJ=+55.0  (1127s, inv so far 8)
[8500/15120] rho5_mu0.5_eta8_kap0.25_sbm_seed0: INV=0 conv=0 best=protect_only dJ=+126.8  (1135s, inv so far 8)
[8550/15120] rho5_mu0.5_eta8_kap1_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+134.5  (1142s, inv so far 8)
[8600/15120] rho5_mu0.5_eta16_kap0.5_sbm_seed3: INV=0 conv=0 best=protect_only dJ=+197.3  (1149s, inv so far 8)
[8650/15120] rho10_mu0.05_eta1_kap0.25_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+70.2  (1155s, inv so far 8)
[8700/15120] rho10_mu0.05_eta1_kap1_bridge_seed0: INV=0 conv=0 best=delay8 dJ=+103.6  (1161s, inv so far 8)
[8750/15120] rho10_mu0.05_eta2_kap0.5_bridge_seed6: INV=0 conv=0 best=delay8 dJ=+91.0  (1167s, inv so far 8)
[8800/15120] rho10_mu0.05_eta5_kap0.5_sbm_seed1: INV=0 conv=0 best=delay8 dJ=+27.6  (1173s, inv so far 8)
[8850/15120] rho10_mu0.05_eta5_kap1_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+148.8  (1179s, inv so far 8)
[8900/15120] rho10_mu0.05_eta8_kap1_sbm_seed2: INV=0 conv=0 best=delay8 dJ=+64.4  (1185s, inv so far 8)
[8950/15120] rho10_mu0.05_eta16_kap0.25_artic_seed5: INV=0 conv=0 best=delay8 dJ=+65.0  (1191s, inv so far 8)
[9000/15120] rho10_mu0.1_eta1_kap0.25_sbm_seed7: INV=0 conv=0 best=delay8 dJ=+38.1  (1198s, inv so far 8)
