cid,rho,mu,eta,kappa,topo,seed,optJ,naiJ,dJ,ci_hi,converged,bestlib,bestlib_tag,P,X,T,het_driven,inversion
rho0.5_mu0.05_eta1_kap0.5_sbm_seed2,0.5,0.05,1,0.5,sbm,2,15.433333333333334,22.166666666666668,-6.733333333333333,-0.16134180348903332,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed3,0.5,0.05,1,0.5,sbm,3,17.108333333333334,24.825,-7.716666666666667,-0.20476702916002767,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed4,0.5,0.05,1,0.5,sbm,4,13.141666666666667,21.0,-7.858333333333333,-0.2593854904814038,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed5,0.5,0.05,1,0.5,sbm,5,7.666666666666667,19.633333333333333,-11.966666666666667,-0.49524712439372226,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed6,0.5,0.05,1,0.5,sbm,6,20.875,32.041666666666664,-11.166666666666666,-0.23890355506211428,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed7,0.5,0.05,1,0.5,sbm,7,5.708333333333333,10.708333333333334,-5.0,-0.3526809063982469,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed0,0.5,0.05,1,1.0,artic,0,11.583333333333334,45.05833333333333,-33.475,-0.6710477154922099,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed1,0.5,0.05,1,1.0,artic,1,18.308333333333334,54.65833333333333,-36.35,-0.5541911806576164,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed2,0.5,0.05,1,1.0,artic,2,16.716666666666665,41.625,-24.908333333333335,-0.4335833484808197,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed3,0.5,0.05,1,1.0,artic,3,14.275,56.641666666666666,-42.36666666666667,-0.6715685855467166,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed4,0.5,0.05,1,1.0,artic,4,16.2,38.46666666666667,-22.266666666666666,-0.4109568357914499,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed5,0.5,0.05,1,1.0,artic,5,12.658333333333333,40.09166666666667,-27.433333333333334,-0.6082992551807702,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap1_artic_seed6,0.5,0.05,1,1.0,artic,6,24.225,45.833333333333336,-21.608333333333334,-0.29005697755481863,True,burn_then_protect,P,1,0,1,0,0
